# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04587e-05 to 1006.18 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045870268866e-05       3.547759326775e+00 
       2.373187310368e-05       7.942735103322e+00 
       3.705372380217e-05       1.230398567717e+01 
       5.046231721908e-05       1.666100651646e+01 
       6.399637571182e-05       2.103390360215e+01 
       7.769564809544e-05       2.543965890472e+01 
       9.160128847324e-05       2.989401005314e+01 
       1.057562526912e-04       3.441228420166e+01 
       1.202057177832e-04       3.900987052819e+01 
       1.349975298089e-04       4.370254246197e+01 
       1.501826854778e-04       4.850671165425e+01 
       1.658158528514e-04       5.343964970109e+01 
       1.819559361320e-04       5.851969702294e+01 
       1.986666889987e-04       6.376646842429e+01 
       2.160173799711e-04       6.920106169130e+01 
       2.340835117070e-04       7.484627125123e+01 
       2.529475937013e-04       8.072680913227e+01 
       2.726999642530e-04       8.686953012123e+01 
       2.934396523958e-04       9.330365998918e+01 
       3.152752632892e-04       1.000610182159e+02 
       3.383258608066e-04       1.071762280251e+02 
       3.627218082115e-04       1.146868973065e+02 
       3.886055114391e-04       1.226337540434e+02 
       4.161319894287e-04       1.310607079398e+02 
       4.454691725620e-04       1.400148077732e+02 
       4.767978048485e-04       1.495460544451e+02 
       5.103108008224e-04       1.597070218244e+02 
       5.462118888683e-04       1.705522372843e+02 
       5.847133659379e-04       1.821372712502e+02 
       6.260328036873e-04       1.945174939293e+02 
       6.703885934819e-04       2.077464804370e+02 
       7.179943068205e-04       2.218740729449e+02 
       7.690519824771e-04       2.369441596954e+02 
       8.237446254462e-04       2.529922951148e+02 
       8.822283938101e-04       2.700433156470e+02 
       9.446251199277e-04       2.881092108148e+02 
       1.011015913410e-03       3.071874581943e+02 
       1.081436579913e-03       3.272600774192e+02 
       1.155875438088e-03       3.482935331418e+02 
       1.234273840199e-03       3.702395730102e+02 
       1.316529352574e-03       3.930368852684e+02 
       1.402501208648e-03       4.166134316662e+02 
       1.492017387150e-03       4.408891902243e+02 
       1.584882541238e-03       4.657789986259e+02 
       1.680886019781e-03       4.911952951079e+02 
       1.779809350608e-03       5.170505466810e+02 
       1.881432747435e-03       5.432592293612e+02 
       1.985540405887e-03       5.697393924242e+02 
       2.091924531146e-03       5.964137384881e+02 
       2.200388170099e-03       6.232103746330e+02 
       2.310747000640e-03       6.500626954493e+02 
       2.422830266832e-03       6.769105819004e+02 
       2.536481052668e-03       7.037002447194e+02 
       2.651556071079e-03       7.303832096752e+02 
       2.767925118590e-03       7.569163614717e+02 
