# Matter power spectrum P(k) at redshift z=5.5
# for k=1.03995e-05 to 1243 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039953543896e-05       1.746112990233e+00 
       2.362715252707e-05       3.914051037875e+00 
       3.690288557276e-05       6.065279696769e+00 
       5.026440451877e-05       8.214322050036e+00 
       6.375002738089e-05       1.037106024664e+01 
       7.739908048046e-05       1.254383184034e+01 
       9.125227067342e-05       1.474035756682e+01 
       1.053520747789e-04       1.696815237605e+01 
       1.197431514480e-04       1.923475760133e+01 
       1.344727807492e-04       2.154789949050e+01 
       1.495913367397e-04       2.391561331689e+01 
       1.651527981975e-04       2.634635186163e+01 
       1.812153024208e-04       2.884908752334e+01 
       1.978417464781e-04       3.143341264661e+01 
       2.151004393591e-04       3.410964116328e+01 
       2.330658069688e-04       3.688891298595e+01 
       2.518191495799e-04       3.978330187939e+01 
       2.714494479115e-04       4.280592551308e+01 
       2.920542090557e-04       4.597105716977e+01 
       3.137403365828e-04       4.929423545557e+01 
       3.366249998083e-04       5.279236784885e+01 
       3.608364648896e-04       5.648382124332e+01 
       3.865148347006e-04       6.038849054205e+01 
       4.138126251223e-04       6.452783377385e+01 
       4.428950827964e-04       6.892485628369e+01 
       4.739401247143e-04       7.360402802432e+01 
       5.071377557701e-04       7.859110788641e+01 
       5.426888010081e-04       8.391285356215e+01 
       5.808027813663e-04       8.959659098259e+01 
       6.216947741287e-04       9.566962176932e+01 
       6.655811422290e-04       1.021584583672e+02 
       7.126740992655e-04       1.090878876358e+02 
       7.631752041348e-04       1.164798894565e+02 
       8.172680453872e-04       1.243524638698e+02 
       8.751105612573e-04       1.327184462911e+02 
       9.368276115359e-04       1.415844223549e+02 
       1.002504525669e-03       1.509498601750e+02 
       1.072182352673e-03       1.608065749733e+02 
       1.145855406415e-03       1.711386157418e+02 
       1.223471442598e-03       1.819226030610e+02 
       1.304934468295e-03       1.931285069713e+02 
       1.390109845146e-03       2.047207709278e+02 
       1.478831079880e-03       2.166596759005e+02 
       1.570907553874e-03       2.289027928093e+02 
       1.666132440652e-03       2.414063900433e+02 
       1.764290173008e-03       2.541267049699e+02 
       1.865163002780e-03       2.670209933932e+02 
       1.968536395812e-03       2.800483411604e+02 
       2.074203182650e-03       2.931702295621e+02 
       2.181966519942e-03       3.063508795609e+02 
       2.291641802565e-03       3.195570981400e+02 
       2.403057707652e-03       3.327592289351e+02 
       2.516056559817e-03       3.459304282890e+02 
       2.630494193709e-03       3.590465416377e+02 
       2.746239465532e-03       3.720860635465e+02 
       2.863173536797e-03       3.850299943118e+02 
       2.981189025715e-03       3.978615932972e+02 
       3.100189097064e-03       4.105662894106e+02 
       3.220086540844e-03       4.231314135420e+02 
       3.340802873876e-03       4.355460719611e+02 
       3.462267486105e-03       4.478009216458e+02 
       3.584416844309e-03       4.598880744401e+02 
       3.707193759434e-03       4.718008545498e+02 
       3.830546719295e-03       4.835337545025e+02 
       3.954429285456e-03       4.950821676861e+02 
       4.078799551231e-03       5.064424731193e+02 
       4.203619656709e-03       5.176116094935e+02 
       4.328855356143e-03       5.285874709800e+02 
       4.454475632939e-03       5.393682567565e+02 
       4.580452357514e-03       5.499529426286e+02 
       4.706759983548e-03       5.603407792746e+02 
       4.833375278454e-03       5.705316066179e+02 
       4.960277084235e-03       5.805256243591e+02 
       5.087446105271e-03       5.903231067143e+02 
       5.214864719920e-03       5.999250108108e+02 
       5.342516813153e-03       6.093321419968e+02 
       5.470387627763e-03       6.185457195037e+02 
       5.598463631961e-03       6.275673316997e+02 
       5.726732401438e-03       6.363984991587e+02 
       5.855182514195e-03       6.450404647378e+02 
       5.983803456649e-03       6.534955267914e+02 
       6.112585539711e-03       6.617652070369e+02 
       6.241519823668e-03       6.698519115231e+02 
       6.370598050881e-03       6.777570894623e+02 
       6.499812585389e-03       6.854830765281e+02 
       6.629156358652e-03       6.930322207927e+02 
       6.758622820736e-03       7.004063829176e+02 
       6.888205896353e-03       7.076077651775e+02 
       7.017899945196e-03       7.146388573190e+02 
       7.147699726128e-03       7.215018715394e+02 
       7.277600364802e-03       7.281986102148e+02 
       7.407597324333e-03       7.347318098851e+02 
       7.537686378721e-03       7.411034279471e+02 
       7.667863588729e-03       7.473154675867e+02 
       7.798125279958e-03       7.533708878618e+02 
       7.928468022901e-03       7.592714416675e+02 
       8.058888614779e-03       7.650190566754e+02 
       8.189384062974e-03       7.706161011748e+02 
       8.319951569909e-03       7.760647462528e+02 
       8.450588519223e-03       7.813671681383e+02 
       8.581292463131e-03       7.865252059283e+02 
       8.712061110845e-03       7.915418710471e+02 
       8.842892317960e-03       7.964185345940e+02 
       8.973784076712e-03       8.011572657750e+02 
       9.104734507036e-03       8.057603363703e+02 
       9.235741848337e-03       8.102295773968e+02 
       9.366804451931e-03       8.145670797000e+02 
       9.497920774066e-03       8.187745929663e+02 
       9.629089369506e-03       8.228542726554e+02 
       9.760308885604e-03       8.268079023059e+02 
       9.891578056831e-03       8.306371817215e+02 
       1.002289569972e-02       8.343440097134e+02 
       1.015426070821e-02       8.379302799550e+02 
       1.028567204931e-02       8.413979768294e+02 
       1.041712875908e-02       8.447486403882e+02 
       1.054862993897e-02       8.479836500968e+02 
       1.068017475236e-02       8.511049388967e+02 
       1.081176242137e-02       8.541142551650e+02 
       1.094339222391e-02       8.570133416482e+02 
       1.107506349097e-02       8.598032922591e+02 
       1.120677560401e-02       8.624876176180e+02 
       1.133852799265e-02       8.650653699886e+02 
       1.147032013246e-02       8.675384521744e+02 
       1.160215154290e-02       8.699094440847e+02 
       1.173402178546e-02       8.721792289048e+02 
       1.186593046185e-02       8.743490356952e+02 
       1.199787721238e-02       8.764207390033e+02 
       1.212986171447e-02       8.783957515630e+02 
       1.226188368116e-02       8.802751159872e+02 
       1.239394285986e-02       8.820605058768e+02 
       1.252603903110e-02       8.837531897473e+02 
       1.265817200739e-02       8.853546263919e+02 
       1.279034163215e-02       8.868658248629e+02 
       1.292254777878e-02       8.882886780256e+02 
       1.305479034968e-02       8.896238891306e+02 
       1.318706927550e-02       8.908728966055e+02 
       1.331938451426e-02       8.920371683319e+02 
       1.345173605071e-02       8.931177630161e+02 
       1.358412389562e-02       8.941159625844e+02 
       1.371654808519e-02       8.950329887403e+02 
       1.384900868049e-02       8.958704215240e+02 
       1.398150576690e-02       8.966287464589e+02 
       1.411403945369e-02       8.973097887545e+02 
       1.424660987359e-02       8.979146548223e+02 
       1.437921718233e-02       8.984437813787e+02 
       1.451186155836e-02       8.988988956404e+02 
       1.464454320250e-02       8.992809841636e+02 
       1.477726233763e-02       8.995910612556e+02 
       1.491001920850e-02       8.998305041481e+02 
       1.504281408144e-02       9.000002659090e+02 
       1.517564724420e-02       9.001016146814e+02 
       1.530851900579e-02       9.001352447866e+02 
       1.544142969630e-02       9.001021961461e+02 
       1.557437966684e-02       9.000040310912e+02 
       1.570736928943e-02       8.998412913587e+02 
       1.584039895693e-02       8.996152572166e+02 
       1.597346908298e-02       8.993272659057e+02 
       1.610658010204e-02       8.989775805920e+02 
       1.623973246933e-02       8.985676401656e+02 
       1.637292666089e-02       8.980984988081e+02 
       1.650616317360e-02       8.975708725911e+02 
       1.663944252528e-02       8.969855035748e+02 
       1.677276525473e-02       8.963441580836e+02 
       1.690613192186e-02       8.956470592315e+02 
       1.703954310780e-02       8.948958288236e+02 
       1.717299941507e-02       8.940899757201e+02 
       1.730650146766e-02       8.932318304966e+02 
       1.744004991130e-02       8.923216716586e+02 
       1.757364541359e-02       8.913605154076e+02 
       1.770728866421e-02       8.903492292738e+02 
       1.784098037520e-02       8.892885859483e+02 
       1.797472128114e-02       8.881800437966e+02 
       1.810851213944e-02       8.870231319216e+02 
       1.824235373063e-02       8.858198165207e+02 
       1.837624685860e-02       8.845710691532e+02 
       1.851019235100e-02       8.832764080860e+02 
       1.864419105949e-02       8.819378393451e+02 
       1.877824386010e-02       8.805554135023e+02 
       1.891235165363e-02       8.791319989557e+02 
       1.904651536598e-02       8.776639485525e+02 
       1.918073594856e-02       8.761560305533e+02 
       1.931501437874e-02       8.746082649414e+02 
       1.944935166022e-02       8.730197849709e+02 
       1.958374882352e-02       8.713927548023e+02 
       1.971820692641e-02       8.697279654049e+02 
       1.985272705444e-02       8.680258560245e+02 
       1.998731032141e-02       8.662861274647e+02 
       2.012195786988e-02       8.645103780100e+02 
       2.025667087175e-02       8.627003952829e+02 
       2.039145052878e-02       8.608556095394e+02 
       2.052629807319e-02       8.589768816244e+02 
       2.066121476824e-02       8.570648570619e+02 
       2.079620190886e-02       8.551200048307e+02 
       2.093126082231e-02       8.531443794888e+02 
       2.106639286880e-02       8.511359561034e+02 
       2.120159944219e-02       8.490989816852e+02 
       2.133688197070e-02       8.470313821879e+02 
       2.147224191765e-02       8.449346493785e+02 
       2.160768078216e-02       8.428083333040e+02 
       2.174320010000e-02       8.406544304552e+02 
       2.187880144433e-02       8.384756067398e+02 
       2.201448642654e-02       8.362670278586e+02 
       2.215025669712e-02       8.340349564755e+02 
       2.228611394651e-02       8.317776993593e+02 
       2.242205990603e-02       8.294943802602e+02 
       2.255809634881e-02       8.271866232653e+02 
       2.269422509071e-02       8.248544890125e+02 
       2.283044799139e-02       8.225029103075e+02 
       2.296676695527e-02       8.201264826108e+02 
       2.310318393262e-02       8.177295763353e+02 
       2.323970092062e-02       8.153104598736e+02 
       2.337631996451e-02       8.128713462172e+02 
       2.351304315873e-02       8.104097188853e+02 
       2.364987264812e-02       8.079330928478e+02 
       2.378681062915e-02       8.054370310494e+02 
       2.392385935119e-02       8.029196016964e+02 
       2.406102111783e-02       8.003850168919e+02 
       2.419829828820e-02       7.978337508229e+02 
       2.433569327838e-02       7.952661892120e+02 
       2.447320856286e-02       7.926804204049e+02 
