# Matter power spectrum P(k) at redshift z=5.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       1.723120646947e+00 
       2.373043761528e-05       3.857939467938e+00 
       3.705205197341e-05       5.976382630486e+00 
       5.046040160262e-05       8.092781885112e+00 
       6.399420676399e-05       1.021690823625e+01 
       7.769321405898e-05       1.235701533655e+01 
       9.159857522556e-05       1.452075293051e+01 
       1.057532435558e-04       1.671557205632e+01 
       1.202023933008e-04       1.894895463542e+01 
       1.349938674647e-04       2.122857042120e+01 
       1.501786593808e-04       2.356240037700e+01 
       1.658114333596e-04       2.595884489873e+01 
       1.819510894196e-04       2.842682542808e+01 
       1.986613765579e-04       3.097588488591e+01 
       2.160115580438e-04       3.361628948773e+01 
       2.340771306401e-04       3.635913327962e+01 
       2.529405972213e-04       3.921644589800e+01 
       2.726922886571e-04       4.220130342996e+01 
       2.934312256600e-04       4.532793998264e+01 
       3.152660040981e-04       4.861185755115e+01 
       3.383156775180e-04       5.206992953372e+01 
       3.627105977775e-04       5.572049097087e+01 
       3.885931583209e-04       5.958340612504e+01 
       4.161183645581e-04       6.368010155744e+01 
       4.454541324261e-04       6.803354810522e+01 
       4.767811907995e-04       7.266817365372e+01 
       5.102924387431e-04       7.760968200982e+01 
       5.461915893473e-04       8.288475518466e+01 
       5.846909251320e-04       8.852061285292e+01 
       6.260080050474e-04       9.454441044894e+01 
       6.703612104985e-04       1.009824616371e+02 
       7.179641068864e-04       1.078592929708e+02 
       7.690187318622e-04       1.151965551726e+02 
       8.237080952403e-04       1.230118503758e+02 
       8.821883665213e-04       1.313175566514e+02 
       9.445813962622e-04       1.401197615484e+02 
       1.010968318642e-03       1.494174272072e+02 
       1.081384969221e-03       1.592018970082e+02 
       1.155819700313e-03       1.694568267791e+02 
       1.234213899658e-03       1.801585731105e+02 
       1.316465168833e-03       1.912770047167e+02 
       1.402432774394e-03       2.027766541703e+02 
       1.491944724558e-03       2.146180904674e+02 
       1.584805697329e-03       2.267593591646e+02 
       1.680805061300e-03       2.391573668643e+02 
       1.779724358910e-03       2.517691201757e+02 
       1.881343813733e-03       2.645527371646e+02 
       1.985447627100e-03       2.774682117704e+02 
       2.091828006459e-03       2.904779523769e+02 
       2.200287998256e-03       3.035470980209e+02 
       2.310643277916e-03       3.166432560790e+02 
       2.422723085604e-03       3.297377168445e+02 
       2.536370500476e-03       3.428043316929e+02 
       2.651442230081e-03       3.558196204311e+02 
       2.767808065318e-03       3.687626731711e+02 
       2.885350122018e-03       3.816150125345e+02 
       3.003961962113e-03       3.943603408247e+02 
       3.123547662764e-03       4.069844469667e+02 
       3.244020881646e-03       4.194749676945e+02 
       3.365303950641e-03       4.318212225175e+02 
       3.487327018288e-03       4.440140523645e+02 
       3.610027252458e-03       4.560456436692e+02 
       3.733348108622e-03       4.679094601320e+02 
       3.857238664757e-03       4.795999432785e+02 
       3.981653021215e-03       4.911124970913e+02 
       4.106549762154e-03       5.024434342073e+02 
       4.231891474164e-03       5.135896484393e+02 
       4.357644317282e-03       5.245488967645e+02 
       4.483777643502e-03       5.353192845946e+02 
       4.610263657980e-03       5.458996662674e+02 
       4.737077118433e-03       5.562891380276e+02 
       4.864195068510e-03       5.664873433127e+02 
       4.991596601329e-03       5.764943265897e+02 
       5.119262649698e-03       5.863102536653e+02 
       5.247175799933e-03       5.959358547604e+02 
       5.375320126495e-03       6.053717933719e+02 
       5.503681045008e-03       6.146191458268e+02 
       5.632245181484e-03       6.236792782989e+02 
       5.761000255846e-03       6.325534306202e+02 
       5.889934978076e-03       6.412431392212e+02 
       6.019038955502e-03       6.497500278117e+02 
       6.148302609931e-03       6.580757522351e+02 
       6.277717103485e-03       6.662222154017e+02 
       6.407274272154e-03       6.741914234847e+02 
       6.536966566162e-03       6.819850197711e+02 
       6.666786996400e-03       6.896051926406e+02 
       6.796729086234e-03       6.970538539410e+02 
       6.926786828089e-03       7.043331161676e+02 
       7.056954644300e-03       7.114452613867e+02 
       7.187227351743e-03       7.183922831485e+02 
       7.317600129859e-03       7.251762178327e+02 
       7.448068491705e-03       7.317992444015e+02 
       7.578628257697e-03       7.382635838928e+02 
       7.709275531791e-03       7.445710130645e+02 
       7.840006679834e-03       7.507241566846e+02 
       7.970818309857e-03       7.567248713694e+02 
       8.101707254141e-03       7.625749450253e+02 
       8.232670552846e-03       7.682769050141e+02 
       8.363705439076e-03       7.738327375409e+02 
       8.494809325229e-03       7.792439716252e+02 
       8.625979790500e-03       7.845130894238e+02 
       8.757214569446e-03       7.896420885452e+02 
       8.888511541496e-03       7.946328644472e+02 
       9.019868721331e-03       7.994872371963e+02 
       9.151284250039e-03       8.042074235575e+02 
       9.282756386994e-03       8.087950620062e+02 
       9.414283502372e-03       8.132522346795e+02 
       9.545864070270e-03       8.175806028735e+02 
       9.677496662351e-03       8.217821126825e+02 
       9.809179941995e-03       8.258586581850e+02 
       9.940912658886e-03       8.298117465295e+02 
       1.007269364402e-02       8.336433449234e+02 
       1.020452180510e-02       8.373552074051e+02 
       1.033639612222e-02       8.409488847451e+02 
       1.046831564399e-02       8.444263757423e+02 
       1.060027948378e-02       8.477887412384e+02 
       1.073228681639e-02       8.510381227407e+02 
       1.086433687490e-02       8.541760213825e+02 
       1.099642894770e-02       8.572039449341e+02 
       1.112856237583e-02       8.601235873999e+02 
       1.126073655044e-02       8.629377400367e+02 
       1.139295091047e-02       8.656456855814e+02 
       1.152520494046e-02       8.682496896609e+02 
       1.165749816853e-02       8.707510551238e+02 
       1.178983016452e-02       8.731520650080e+02 
       1.192220053825e-02       8.754532726112e+02 
       1.205460893787e-02       8.776563590967e+02 
       1.218705504840e-02       8.797630206051e+02 
       1.231953859028e-02       8.817747064543e+02 
       1.245205931810e-02       8.836916797663e+02 
       1.258461701939e-02       8.855167450000e+02 
       1.271721151347e-02       8.872503337643e+02 
       1.284984265044e-02       8.888939764497e+02 
       1.298251031021e-02       8.904484665215e+02 
       1.311521440158e-02       8.919161414690e+02 
       1.324795486143e-02       8.932975956506e+02 
       1.338073165393e-02       8.945938950000e+02 
       1.351354476986e-02       8.958067891371e+02 
       1.364639422595e-02       8.969371839440e+02 
       1.377928006424e-02       8.979861418429e+02 
       1.391220235156e-02       8.989549724633e+02 
       1.404516117903e-02       8.998450451543e+02 
       1.417815666155e-02       9.006576279275e+02 
       1.431118893742e-02       9.013930649826e+02 
       1.444425816794e-02       9.020536608316e+02 
       1.457736453706e-02       9.026393430078e+02 
       1.471050825103e-02       9.031519858885e+02 
       1.484368953822e-02       9.035921136733e+02 
       1.497690864875e-02       9.039613560438e+02 
       1.511016585436e-02       9.042601505051e+02 
       1.524346144820e-02       9.044903146360e+02 
       1.537679574464e-02       9.046524221422e+02 
       1.551016907917e-02       9.047475302464e+02 
       1.564358180828e-02       9.047769300454e+02 
       1.577703430938e-02       9.047412741393e+02 
       1.591052698073e-02       9.046418191410e+02 
       1.604406024142e-02       9.044795466868e+02 
       1.617763453133e-02       9.042554292419e+02 
       1.631125031118e-02       9.039702058233e+02 
       1.644490806251e-02       9.036250894359e+02 
       1.657860828775e-02       9.032210547526e+02 
       1.671235151029e-02       9.027590275216e+02 
       1.684613827459e-02       9.022399701201e+02 
       1.697996914622e-02       9.016640269496e+02 
       1.711384471207e-02       9.010328771435e+02 
       1.724776558040e-02       9.003481457321e+02 
       1.738173238109e-02       8.996100159829e+02 
       1.751574576578e-02       8.988184981995e+02 
       1.764980640804e-02       8.979754419930e+02 
       1.778391500363e-02       8.970816021268e+02 
       1.791807227070e-02       8.961379470847e+02 
       1.805227895006e-02       8.951448550798e+02 
       1.818653580541e-02       8.941037858939e+02 
       1.832084362365e-02       8.930148880546e+02 
       1.845520321520e-02       8.918794869783e+02 
       1.858961541424e-02       8.906978504175e+02 
       1.872408107911e-02       8.894715855462e+02 
       1.885860109264e-02       8.882011493286e+02 
       1.899317636251e-02       8.868864324021e+02 
       1.912780782161e-02       8.855296653866e+02 
       1.926249642850e-02       8.841300166206e+02 
       1.939724316775e-02       8.826909345064e+02 
       1.953204905044e-02       8.812089230229e+02 
       1.966691511458e-02       8.796899001291e+02 
       1.980184242558e-02       8.781301241428e+02 
       1.993683207674e-02       8.765328445729e+02 
       2.007188518977e-02       8.748983270886e+02 
       2.020700291530e-02       8.732256577709e+02 
       2.034218643342e-02       8.715173366946e+02 
       2.047743695426e-02       8.697740855140e+02 
       2.061275571856e-02       8.679960438482e+02 
       2.074814399829e-02       8.661836973500e+02 
       2.088360309724e-02       8.643378611914e+02 
       2.101913435170e-02       8.624592006848e+02 
       2.115473913110e-02       8.605483034169e+02 
       2.129041883873e-02       8.586077349119e+02 
       2.142617491241e-02       8.566345785705e+02 
       2.156200882525e-02       8.546323422114e+02 
       2.169792208640e-02       8.526002319434e+02 
       2.183391624183e-02       8.505391514902e+02 
       2.196999287514e-02       8.484504604722e+02 
       2.210615360838e-02       8.463326797556e+02 
       2.224240010293e-02       8.441899023174e+02 
       2.237873406036e-02       8.420188480887e+02 
       2.251515722336e-02       8.398224760035e+02 
       2.265167137665e-02       8.376027588729e+02 
       2.278827834800e-02       8.353566338473e+02 
       2.292498000920e-02       8.330863678993e+02 
       2.306177827707e-02       8.307937578692e+02 
       2.319867511457e-02       8.284772166666e+02 
       2.333567253186e-02       8.261392583210e+02 
       2.347277258747e-02       8.237785329299e+02 
       2.360997738941e-02       8.213976853265e+02 
       2.374728909641e-02       8.189953759002e+02 
       2.388470991917e-02       8.165746437187e+02 
       2.402224212160e-02       8.141335937757e+02 
       2.415988802217e-02       8.116732159174e+02 
       2.429764999526e-02       8.091930010938e+02 
       2.443553047256e-02       8.066965231601e+02 
       2.457353194453e-02       8.041834601779e+02 
       2.471165696187e-02       8.016522429428e+02 
       2.484990813710e-02       7.991046322634e+02 
       2.498828814611e-02       7.965418433848e+02 
       2.512679972984e-02       7.939622228712e+02 
       2.526544569592e-02       7.913687556748e+02 
       2.540422892050e-02       7.887613857187e+02 
       2.554315234997e-02       7.861390947094e+02 
       2.568221900292e-02       7.835028974323e+02 
       2.582143197196e-02       7.808532725206e+02 
       2.596079442580e-02       7.781917905108e+02 
       2.610030961129e-02       7.755185100032e+02 
       2.623998085549e-02       7.728349153229e+02 
       2.637981156794e-02       7.701373253295e+02 
       2.651980524290e-02       7.674304157678e+02 
       2.665996546168e-02       7.647118577221e+02 
       2.680029589511e-02       7.619847741148e+02 
       2.694080030602e-02       7.592463688197e+02 
       2.708148255186e-02       7.565003614302e+02 
       2.722234658737e-02       7.537455300129e+02 
       2.736339646738e-02       7.509809597038e+02 
       2.750463634970e-02       7.482076146396e+02 
       2.764607049807e-02       7.454293033410e+02 
       2.778770328530e-02       7.426408787560e+02 
       2.792953919641e-02       7.398492758496e+02 
       2.807158283200e-02       7.370479314401e+02 
       2.821383891169e-02       7.342401758040e+02 
       2.835631227763e-02       7.314270184297e+02 
       2.849900789825e-02       7.286089842634e+02 
       2.864193087208e-02       7.257867396375e+02 
       2.878508643170e-02       7.229567103540e+02 
       2.892847994792e-02       7.201243646858e+02 
       2.907211693401e-02       7.172856751630e+02 
       2.921600305018e-02       7.144475635075e+02 
       2.936014410820e-02       7.116008930611e+02 
       2.950454607619e-02       7.087528113287e+02 
       2.964921508358e-02       7.059010503212e+02 
       2.979415742637e-02       7.030482953754e+02 
       2.993937957245e-02       7.001913239548e+02 
       3.008488816723e-02       6.973321847615e+02 
       3.023069003948e-02       6.944711339488e+02 
       3.037679220740e-02       6.916081975845e+02 
       3.052320188494e-02       6.887436991742e+02 
       3.066992648838e-02       6.858787723147e+02 
       3.081697364318e-02       6.830138121575e+02 
       3.096435119115e-02       6.801444221845e+02 
       3.111206719787e-02       6.772760738848e+02 
       3.126012996051e-02       6.744085060349e+02 
       3.140854801586e-02       6.715425458687e+02 
       3.155733014887e-02       6.686740599606e+02 
       3.170648540141e-02       6.658062300114e+02 
       3.185602308155e-02       6.629393594973e+02 
       3.200595277315e-02       6.600753843880e+02 
       3.215628434598e-02       6.572094604321e+02 
       3.230702796621e-02       6.543462369358e+02 
       3.245819410741e-02       6.514841797539e+02 
       3.260979356215e-02       6.486213443411e+02 
       3.276183745398e-02       6.457626441515e+02 
       3.291433725013e-02       6.429062202250e+02 
       3.306730477471e-02       6.400505195534e+02 
       3.322075222260e-02       6.371951932016e+02 
       3.337469217403e-02       6.343451727784e+02 
       3.352913760980e-02       6.314988262256e+02 
       3.368410192736e-02       6.286521088059e+02 
       3.383959895760e-02       6.258091865374e+02 
       3.399564298254e-02       6.229692358809e+02 
       3.415224875396e-02       6.201314495196e+02 
       3.430943151287e-02       6.172987559070e+02 
       3.446720701016e-02       6.144659991212e+02 
       3.462559152820e-02       6.116399675631e+02 
       3.478460190367e-02       6.088153650560e+02 
       3.494425555159e-02       6.059953831374e+02 
       3.510457049068e-02       6.031776106511e+02 
       3.526556537007e-02       6.003668049684e+02 
       3.542725949757e-02       5.975569699985e+02 
       3.558967286947e-02       5.947513714766e+02 
       3.575282620204e-02       5.919488441892e+02 
       3.591674096486e-02       5.891513943808e+02 
       3.608143941613e-02       5.863582253717e+02 
       3.624694463996e-02       5.835687669057e+02 
       3.641328058594e-02       5.807846953982e+02 
       3.658047211114e-02       5.780036874636e+02 
       3.674854502456e-02       5.752277990756e+02 
       3.691752613441e-02       5.724544622066e+02 
       3.708744329831e-02       5.696858787620e+02 
       3.725832547669e-02       5.669213704138e+02 
       3.743020278953e-02       5.641616059711e+02 
       3.760310657689e-02       5.614055479422e+02 
       3.777706946333e-02       5.586564704706e+02 
       3.795212542663e-02       5.559079363451e+02 
       3.812830987117e-02       5.531650274206e+02 
       3.830565970624e-02       5.504262398922e+02 
       3.848421342989e-02       5.476932677136e+02 
       3.866401121852e-02       5.449628972312e+02 
       3.884509502293e-02       5.422352430846e+02 
       3.902750867120e-02       5.395144695868e+02 
       3.921129797920e-02       5.367967429893e+02 
       3.939651086917e-02       5.340811002377e+02 
       3.958319749728e-02       5.313697123690e+02 
       3.977141039084e-02       5.286633834769e+02 
       3.996120459624e-02       5.259603474852e+02 
       4.015263783837e-02       5.232606323584e+02 
       4.034577069283e-02       5.205630216279e+02 
       4.054066677207e-02       5.178701573846e+02 
       4.073739292676e-02       5.151786930538e+02 
       4.093601946408e-02       5.124913434791e+02 
       4.113662038441e-02       5.098082164850e+02 
       4.133927363850e-02       5.071266790624e+02 
       4.154406140720e-02       5.044456396977e+02 
       4.175107040600e-02       5.017737877291e+02 
       4.196039221729e-02       4.990936932060e+02 
       4.217212365321e-02       4.964205906634e+02 
       4.238636715250e-02       4.937483645042e+02 
       4.260323121533e-02       4.910760174086e+02 
       4.282283088035e-02       4.884084886602e+02 
       4.304528824899e-02       4.857375211810e+02 
       4.327073306268e-02       4.830700192134e+02 
       4.349930333937e-02       4.804030160535e+02 
       4.373114607684e-02       4.777334209647e+02 
       4.396641803108e-02       4.750644430193e+02 
       4.420528657961e-02       4.723948465798e+02 
       4.444793068082e-02       4.697232962086e+02 
       4.469454194227e-02       4.670501034210e+02 
       4.494532581288e-02       4.643736270153e+02 
       4.520050291638e-02       4.616963616681e+02 
       4.546031054620e-02       4.590138161785e+02 
       4.572500434546e-02       4.563278542099e+02 
       4.599486019958e-02       4.536360202762e+02 
       4.627017637418e-02       4.509394260385e+02 
       4.655127593643e-02       4.482370686598e+02 
       4.683850950528e-02       4.455289787295e+02 
       4.713225838436e-02       4.428114139785e+02 
       4.743293814168e-02       4.400856188493e+02 
       4.774100271297e-02       4.373500970318e+02 
       4.805694912064e-02       4.346032848178e+02 
       4.838132291952e-02       4.318451624880e+02 
       4.871472450393e-02       4.290747231711e+02 
       4.905781643925e-02       4.262866101929e+02 
       4.941133201783e-02       4.234840549163e+02 
       4.977608528353e-02       4.206625655955e+02 
       5.015298282618e-02       4.178215492886e+02 
       5.054303771845e-02       4.149571449919e+02 
       5.094738605757e-02       4.120676562092e+02 
       5.136730668884e-02       4.091516407179e+02 
       5.180424483333e-02       4.062053195636e+02 
       5.225984052739e-02       4.032234608772e+02 
       5.273596301788e-02       4.002042097148e+02 
       5.323475255774e-02       3.971407003089e+02 
       5.375867142783e-02       3.940281727513e+02 
       5.431056648953e-02       3.908594089007e+02 
       5.489374616450e-02       3.876275514589e+02 
       5.551207544878e-02       3.843232280621e+02 
       5.617009337762e-02       3.809335836910e+02 
       5.687315818582e-02       3.774444648885e+02 
       5.762762604582e-02       3.738371692587e+02 
       5.844106924229e-02       3.700898431845e+02 
       5.932253797381e-02       3.661720028991e+02 
       6.028286471725e-02       3.620447010752e+02 
       6.133499760901e-02       3.576569595400e+02 
       6.249432323971e-02       3.529408293120e+02 
       6.377888977286e-02       3.478059459744e+02 
       6.520935658723e-02       3.421310455017e+02 
       6.680837282307e-02       3.357585872762e+02 
       6.859895815143e-02       3.284914567270e+02 
       7.060145446358e-02       3.200976074870e+02 
       7.282900509302e-02       3.103401265976e+02 
       7.528254764851e-02       2.990332931455e+02 
       7.794763165265e-02       2.861242617645e+02 
       8.079557122545e-02       2.717663786160e+02 
       8.378925639194e-02       2.563408973680e+02 
       8.689081350409e-02       2.404058772622e+02 
       9.006747864852e-02       2.245981857051e+02 
       9.329408122598e-02       2.095212852855e+02 
       9.655282505597e-02       1.956672379548e+02 
       9.983181243343e-02       1.833701561967e+02 
       1.031233738652e-01       1.727969634449e+02 
       1.064226786357e-01       1.639583823633e+02 
       1.097267276976e-01       1.567363983045e+02 
       1.130336756109e-01       1.509143883309e+02 
       1.163423928821e-01       1.462095348936e+02 
       1.196521903954e-01       1.423029393911e+02 
       1.229626484529e-01       1.388685727918e+02 
       1.262735116499e-01       1.356017717420e+02 
       1.295846245788e-01       1.322445237949e+02 
       1.328958926300e-01       1.286058010964e+02 
       1.362072581392e-01       1.245746306743e+02 
       1.395186858906e-01       1.201233478462e+02 
       1.428301543108e-01       1.153000795009e+02 
       1.461416501217e-01       1.102129750990e+02 
       1.494531650939e-01       1.050086609900e+02 
       1.527646940752e-01       9.984907778796e+01 
       1.560762337931e-01       9.489034931301e+01 
       1.593877821275e-01       9.026556059098e+01 
       1.626993376673e-01       8.607391361298e+01 
       1.660108994417e-01       8.237416769141e+01 
       1.693224667555e-01       7.918479194999e+01 
       1.726340390885e-01       7.648666626944e+01 
       1.759456160339e-01       7.422925357518e+01 
       1.792571972603e-01       7.233842242676e+01 
       1.825687824880e-01       7.072480654420e+01 
       1.858803714740e-01       6.929295894430e+01 
       1.891919640029e-01       6.796062761099e+01 
       1.925035598800e-01       6.664046063534e+01 
       1.958151589280e-01       6.525549899352e+01 
