z,Pm,k
5.0,0.0,0.0
5.0,0.0,0.0031415926535897933
5.0,0.0,0.0022672492052927726
5.0,0.0,0.0011659543910562402
5.0,-0.0,0.0005370868080460986
5.0,-0.0,0.000396218307721067
5.0,0.0,0.00017805919910513906
5.0,0.0,9.53954615732175e-05
5.0,0.0,5.037161244305974e-05
5.0,0.0,2.5861691921612632e-05
5.0,-0.0,1.3446006743605336e-05
5.0,0.0,7.009042443231143e-06
5.0,-0.0,3.588489762328293e-06
5.0,0.0,1.850973811970075e-06
5.0,-0.0,9.497642809428069e-07
5.0,-0.0,5.067141663988782e-07
5.0,0.0,1.638187552463092e-06
5.12,0.0,0.0
5.12,0.0,0.0015707963267948967
5.12,0.0,0.0011336246026463863
5.12,0.0,0.0005829771955281201
5.12,-0.0,0.0002685434040230493
5.12,-0.0,0.0001981091538605335
5.12,0.0,8.902959955256953e-05
5.12,0.0,4.769773078660875e-05
5.12,0.0,2.518580622152987e-05
5.12,0.0,1.2930845960806316e-05
5.12,-0.0,6.723003371802668e-06
5.12,0.0,3.5045212216155713e-06
5.12,-0.0,1.7942448811641465e-06
5.12,0.0,9.254869059850375e-07
5.12,-0.0,4.7488214047140344e-07
5.12,0.0,2.533570831994391e-07
5.12,0.0,8.19093776231546e-07
5.2424,0.0,0.0
5.2424,0.0,0.0010471975511965978
5.2424,0.0,0.0007557497350975909
5.2424,0.0,0.0003886514636854134
5.2424,-0.0,0.0001790289360153662
5.2424,-0.0,0.00013207276924035566
5.2424,0.0,5.935306636837969e-05
5.2424,0.0,3.17984871910725e-05
5.2424,0.0,1.6790537481019913e-05
5.2424,0.0,8.620563973870877e-06
5.2424,-0.0,4.482002247868446e-06
5.2424,0.0,2.3363474810770475e-06
5.2424,-0.0,1.1961632541094311e-06
5.2424,0.0,6.169912706566917e-07
5.2424,-0.0,3.165880936476023e-07
5.2424,0.0,1.6890472213295938e-07
5.2424,0.0,5.460625174876974e-07
5.367248,0.0,0.0
5.367248,0.0,0.0007853981633974483
5.367248,0.0,0.0005668123013231932
