# Matter power spectrum P(k) at redshift z=4.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.384554361729e+00 
       2.373043761528e-05       5.338098935643e+00 
       3.705205197341e-05       8.268734277536e+00 
       5.046040160262e-05       1.119639130382e+01 
       6.399420676399e-05       1.413462680630e+01 
       7.769321405898e-05       1.709487745868e+01 
       9.159857522556e-05       2.008773497863e+01 
       1.057532435558e-04       2.312351048127e+01 
       1.202023933008e-04       2.621255426001e+01 
       1.349938674647e-04       2.936547365461e+01 
       1.501786593808e-04       3.259330416077e+01 
       1.658114333596e-04       3.590765930352e+01 
       1.819510894196e-04       3.932087107850e+01 
       1.986613765579e-04       4.284612882448e+01 
       2.160115580438e-04       4.649761970884e+01 
       2.340771306401e-04       5.029067296639e+01 
       2.529405972213e-04       5.424190846261e+01 
       2.726922886571e-04       5.836938937867e+01 
       2.934312256600e-04       6.269277573779e+01 
       3.152660040981e-04       6.723347547537e+01 
       3.383156775180e-04       7.201478639150e+01 
       3.627105977775e-04       7.706201959558e+01 
       3.885931583209e-04       8.240259141594e+01 
       4.161183645581e-04       8.806606728502e+01 
       4.454541324261e-04       9.408413475542e+01 
       4.767811907995e-04       1.004904803714e+02 
       5.102924387431e-04       1.073205370779e+02 
       5.461915893473e-04       1.146110699358e+02 
       5.846909251320e-04       1.223995653203e+02 
       6.260080050474e-04       1.307233969128e+02 
       6.703612104985e-04       1.396187513527e+02 
       7.179641068864e-04       1.491193227370e+02 
       7.690187318622e-04       1.592548129574e+02 
       8.237080952403e-04       1.700493183614e+02 
       8.821883665213e-04       1.815197181461e+02 
       9.445813962622e-04       1.936742160393e+02 
       1.010968318642e-03       2.065112069161e+02 
       1.081384969221e-03       2.200186157730e+02 
       1.155819700313e-03       2.341738226147e+02 
       1.234213899658e-03       2.489442134877e+02 
       1.316465168833e-03       2.642883074244e+02 
       1.402432774394e-03       2.801573423873e+02 
       1.491944724558e-03       2.964971524022e+02 
       1.584805697329e-03       3.132501281992e+02 
       1.680805061300e-03       3.303570920940e+02 
       1.779724358910e-03       3.477589705477e+02 
       1.881343813733e-03       3.653981574706e+02 
       1.985447627100e-03       3.832195466752e+02 
       2.091828006459e-03       4.011712671514e+02 
       2.200287998256e-03       4.192051270707e+02 
       2.310643277916e-03       4.372762735084e+02 
       2.422723085604e-03       4.553448998701e+02 
       2.536370500476e-03       4.733747295075e+02 
       2.651442230081e-03       4.913332154551e+02 
       2.767808065318e-03       5.091913443318e+02 
       2.885350122018e-03       5.269236067668e+02 
       3.003961962113e-03       5.445075030112e+02 
       3.123547662764e-03       5.619234707642e+02 
       3.244020881646e-03       5.791545223741e+02 
       3.365303950641e-03       5.961859967853e+02 
       3.487327018288e-03       6.130053181681e+02 
       3.610027252458e-03       6.296017415751e+02 
       3.733348108622e-03       6.459662563170e+02 
       3.857238664757e-03       6.620911752751e+02 
       3.981653021215e-03       6.779701257333e+02 
       4.106549762154e-03       6.935979850451e+02 
       4.231891474164e-03       7.089704431418e+02 
       4.357644317282e-03       7.240843984485e+02 
       4.483777643502e-03       7.389372522056e+02 
       4.610263657980e-03       7.535274579459e+02 
       4.737077118433e-03       7.678538172544e+02 
       4.864195068510e-03       7.819158907468e+02 
