# Matter power spectrum P(k) at redshift z=2 to z=4
# for k=1.04064e-05 to 16.51 h/Mpc,
# number of wavenumbers equal to 124
# 0:z   1:k (h/Mpc)              2:P (Mpc/h)^3
2.5     3.290788006409e-05      1.877270955850e+01
2.5     4.142856646095e-05      2.345262506534e+01
2.5     5.215547509190e-05      2.929899681510e+01
2.5     6.565985295739e-05      3.660234778196e+01
2.5     8.266085742272e-05      4.572535365944e+01
2.5     1.040638539702e-04      5.712055747385e+01
2.5     1.310086302123e-04      7.135223996011e+01
2.5     1.649300937386e-04      8.912322492002e+01
2.5     2.076346861771e-04      1.113073615617e+02
2.5     2.613965827982e-04      1.389881691481e+02
2.5     3.290788006409e-04      1.735034415655e+02
2.5     4.142856646095e-04      2.164941803759e+02
2.5     5.215547509190e-04      2.699536662219e+02
2.5     6.565985295739e-04      3.362686663998e+02
2.5     8.266085742272e-04      4.182406050377e+02
2.5     1.040638539702e-03      5.190723616469e+02
2.5     1.310086302123e-03      6.423062136930e+02
2.5     1.649300937386e-03      7.916625970586e+02
2.5     2.076346861771e-03      9.707787056950e+02
2.5     2.613965827982e-03      1.182579721415e+03
2.5     3.290788006409e-03      1.428452651152e+03
2.5     4.142856646095e-03      1.707095529280e+03
2.5     5.215547509190e-03      2.012967122964e+03
2.5     6.565985295739e-03      2.334458040519e+03
2.5     8.266085742272e-03      2.651855221530e+03
2.5     1.040638539702e-02      2.935145668970e+03
2.5     1.310086302123e-02      3.143152326560e+03
2.5     1.649300937383e-02      3.225230697467e+03
2.5     2.076346845758e-02      3.131503390875e+03
2.5     2.613953535810e-02      2.838626180145e+03
2.5     3.289074948932e-02      2.391145828779e+03
2.5     4.085496948384e-02      1.942728669951e+03
2.5     4.758645817065e-02      1.685491097284e+03
2.5     5.246534223406e-02      1.559299025182e+03
2.5     5.648595286818e-02      1.480738854659e+03
2.5     6.007449462291e-02      1.421476568441e+03
2.5     6.342071539796e-02      1.369683954309e+03
2.5     6.662494229477e-02      1.319418702859e+03
2.5     6.974728753551e-02      1.267500996810e+03
2.5     7.282721459431e-02      1.212411154647e+03
2.5     7.589252360485e-02      1.153772856579e+03
2.5     7.896394793143e-02      1.092073259389e+03
2.5     8.205770709328e-02      1.028437087244e+03
2.5     8.518701887277e-02      9.644255093847e+02
2.5     8.836304229388e-02      9.018246467661e+02
2.5     9.159549089029e-02      8.424175719602e+02
2.5     9.489304557728e-02      7.878091804843e+02
2.5     9.826364067105e-02      7.392205121789e+02
2.5     1.017146667450e-01      6.974018563493e+02
2.5     1.052531172684e-01      6.625060298913e+02
2.5     1.088856962014e-01      6.341027377474e+02
2.5     1.126188978196e-01      6.111697097315e+02
2.5     1.164590663788e-01      5.921660940031e+02
2.5     1.204124408947e-01      5.751684200160e+02
2.5     1.244851888030e-01      5.581040133392e+02
2.5     1.286834312658e-01      5.390595151580e+02
2.5     1.330132622335e-01      5.166646509713e+02
2.5     1.374807629271e-01      4.904178454482e+02
2.5     1.420920131156e-01      4.608483184226e+02
2.5     1.468531003701e-01      4.294306269581e+02
2.5     1.517701283501e-01      3.982331748961e+02
2.5     1.568492251005e-01      3.694180707281e+02
2.5     1.620965522838e-01      3.446824960982e+02
2.5     1.675183162461e-01      3.248423987761e+02
2.5     1.731207817908e-01      3.096315523868e+02
2.5     1.789102895246e-01      2.977481007855e+02
2.5     1.848932776290e-01      2.872947494019e+02
2.5     1.910763089075e-01      2.761332413508e+02
2.5     1.974661039619e-01      2.626311655493e+02
2.5     2.040695813624e-01      2.465153111148e+02
2.5     2.108939057123e-01      2.289409085239e+02
2.5     2.179465445608e-01      2.117980479078e+02
2.5     2.252353352192e-01      1.967645284692e+02
2.5     2.327685626799e-01      1.847114592757e+02
2.5     2.405550500539e-01      1.754058749924e+02
2.5     2.486042632468e-01      1.675391967034e+02
2.5     2.569264320095e-01      1.594624001859e+02
2.5     2.655326900614e-01      1.501938682628e+02
2.5     2.744352377335e-01      1.398815441700e+02
2.5     2.836475315701e-01      1.296411603673e+02
2.5     2.931845066381e-01      1.207292321415e+02
2.5     3.030628390319e-01      1.135096057735e+02
2.5     3.133012583707e-01      1.073493621758e+02
2.5     3.239209231947e-01      1.012550830239e+02
2.5     3.349458763741e-01      9.465267620304e+01
2.5     3.464036034235e-01      8.790603354933e+01
2.5     3.583257246456e-01      8.172754542491e+01
2.5     3.707488633635e-01      7.644626865671e+01
2.5     3.837157487360e-01      7.165678161473e+01
2.5     3.972766353284e-01      6.684591372498e+01
2.5     4.114911567648e-01      6.198944149315e+01
2.5     4.264307840594e-01      5.745280890295e+01
2.5     4.421821417540e-01      5.336097908857e+01
2.5     4.588515659937e-01      4.949240174021e+01
2.5     4.765715023592e-01      4.565436345702e+01
2.5     4.955097004706e-01      4.199035332884e+01
2.5     5.158827870432e-01      3.859082251365e+01
2.5     5.379769276834e-01      3.528367421299e+01
2.5     5.621804171447e-01      3.207751987223e+01
2.5     5.890372583406e-01      2.901233837385e+01
2.5     6.193396372156e-01      2.600419632902e+01
2.5     6.542969511286e-01      2.306041012558e+01
2.5     6.958662826103e-01      2.012752734649e+01
2.5     7.474500672257e-01      1.716978004188e+01
2.5     8.154878167808e-01      1.412237896528e+01
2.5     9.132176747887e-01      1.092637630580e+01
2.5     1.067681861987e+00      7.631245296117e+00
2.5     1.313696908781e+00      4.702695031592e+00
2.5     1.651041754173e+00      2.732001823479e+00
2.5     2.078484682313e+00      1.566586146543e+00
2.5     2.616656982536e+00      8.908830859219e-01
2.5     3.294175969156e+00      5.028715270408e-01
2.5     4.147121838492e+00      2.819402568177e-01
2.5     5.220917068284e+00      1.570999886298e-01
2.5     6.572745170133e+00      8.704586937961e-02
2.5     8.274595919928e+00      4.798167419635e-02
2.5     1.041709907593e+01      2.632352217474e-02
2.5     1.311435074386e+01      1.437828517845e-02
2.5     1.650998941063e+01      7.821765831740e-03
3.0     1.040638539702e-05      4.748814850101e+00
3.0     1.310086302123e-05      5.932731657311e+00
3.0     1.649300937386e-05      7.411802903633e+00
3.0     2.076346861771e-05      9.259606456074e+00
3.0     2.613965827982e-05      1.156805695531e+01
3.0     3.290788006409e-05      1.445197033848e+01
3.0     4.142856646095e-05      1.805476123253e+01
3.0     5.215547509190e-05      2.255554573850e+01
3.0     6.565985295739e-05      2.817798952047e+01
3.0     8.266085742272e-05      3.520131441158e+01
3.0     1.040638539702e-04      4.397394432682e+01
3.0     1.310086302123e-04      5.493036137425e+01
3.0     1.649300937386e-04      6.861177593010e+01
3.0     2.076346861771e-04      8.569120067745e+01
3.0     2.613965827982e-04      1.070033246264e+02
3.0     3.290788006409e-04      1.335790703933e+02
3.0     4.142856646095e-04      1.666836204060e+02
3.0     5.215547509190e-04      2.078546844796e+02
3.0     6.565985295739e-04      2.589346509006e+02
3.0     8.266085742272e-04      3.220865573965e+02
3.0     1.040638539702e-03      3.997815059875e+02
3.0     1.310086302123e-03      4.947459261337e+02
3.0     1.649300937386e-03      6.098356361920e+02
3.0     2.076346861771e-03      7.478466410593e+02
3.0     2.613965827982e-03      9.110388681655e+02
3.0     3.290788006409e-03      1.100478707001e+03
3.0     4.142856646095e-03      1.315163682946e+03
3.0     5.215547509190e-03      1.550824431652e+03
3.0     6.565985295739e-03      1.798516988455e+03
3.0     8.266085742272e-03      2.043023440152e+03
3.0     1.040638539702e-02      2.261316250824e+03
3.0     1.310086302123e-02      2.421574062855e+03
3.0     1.649300937383e-02      2.484811826887e+03
3.0     2.076346845758e-02      2.412602609182e+03
3.0     2.613953535810e-02      2.186961845111e+03
3.0     3.289074948932e-02      1.842214345642e+03
3.0     4.085496948384e-02      1.496736186687e+03
3.0     4.758645817065e-02      1.298553523597e+03
3.0     5.246534223406e-02      1.201331645606e+03
3.0     5.648595286818e-02      1.140806037176e+03
3.0     6.007449462291e-02      1.095149221927e+03
3.0     6.342071539796e-02      1.055245538847e+03
3.0     6.662494229477e-02      1.016519691839e+03
3.0     6.974728753551e-02      9.765209146858e+02
3.0     7.282721459431e-02      9.340780214401e+02
3.0     7.589252360485e-02      8.889014804784e+02
3.0     7.896394793143e-02      8.413659890631e+02
3.0     8.205770709328e-02      7.923387707963e+02
3.0     8.518701887277e-02      7.430233012043e+02
3.0     8.836304229388e-02      6.947931612360e+02
3.0     9.159549089029e-02      6.490255879441e+02
3.0     9.489304557728e-02      6.069522923987e+02
3.0     9.826364067105e-02      5.695193342030e+02
3.0     1.017146667450e-01      5.372994300082e+02
3.0     1.052531172684e-01      5.104146245533e+02
3.0     1.088856962014e-01      4.885322712113e+02
3.0     1.126188978196e-01      4.708638038355e+02
3.0     1.164590663788e-01      4.562227325259e+02
3.0     1.204124408947e-01      4.431274420043e+02
3.0     1.244851888030e-01      4.299801547388e+02
3.0     1.286834312658e-01      4.153077249850e+02
3.0     1.330132622335e-01      3.980540638064e+02
3.0     1.374807629271e-01      3.778326383900e+02
3.0     1.420920131156e-01      3.550514732744e+02
3.0     1.468531003701e-01      3.308464704954e+02
3.0     1.517701283501e-01      3.068108419622e+02
3.0     1.568492251005e-01      2.846108304530e+02
3.0     1.620965522838e-01      2.655553800763e+02
3.0     1.675183162461e-01      2.502683941788e+02
3.0     1.731207817908e-01      2.385494596512e+02
3.0     1.789102895246e-01      2.293945351582e+02
3.0     1.848932776290e-01      2.213405073087e+02
3.0     1.910763089075e-01      2.127413635899e+02
3.0     1.974661039619e-01      2.023389231954e+02
3.0     2.040695813624e-01      1.899227829965e+02
3.0     2.108939057123e-01      1.763829635566e+02
3.0     2.179465445608e-01      1.631755661870e+02
