# Matter power spectrum P(k) at redshift z=2 to z=4
# for k=1.04064e-05 to 16.51 h/Mpc,
# number of wavenumbers equal to 124
# 0:z   1:k (h/Mpc)              2:P (Mpc/h)^3
4.0     1.568492251005e-01      1.833341242446e+02
4.0     1.620965522838e-01      1.710595918830e+02
4.0     1.675183162461e-01      1.612121660254e+02
4.0     1.731207817908e-01      1.536633227772e+02
4.0     1.789102895246e-01      1.477664958662e+02
4.0     1.848932776290e-01      1.425780173285e+02
4.0     1.910763089075e-01      1.370388097052e+02
4.0     1.974661039619e-01      1.303380169845e+02
4.0     2.040695813624e-01      1.223400668174e+02
4.0     2.108939057123e-01      1.136183317206e+02
4.0     2.179465445608e-01      1.051106650355e+02
4.0     2.252353352192e-01      9.764992658320e+01
4.0     2.327685626799e-01      9.166825853406e+01
4.0     2.405550500539e-01      8.705011184005e+01
4.0     2.486042632468e-01      8.314599003545e+01
4.0     2.569264320095e-01      7.913765364705e+01
4.0     2.655326900614e-01      7.453789853611e+01
4.0     2.744352377335e-01      6.942011214306e+01
4.0     2.836475315701e-01      6.433800121205e+01
4.0     2.931845066381e-01      5.991524061906e+01
4.0     3.030628390319e-01      5.633227263301e+01
4.0     3.133012583707e-01      5.327512661364e+01
4.0     3.239209231947e-01      5.025065417854e+01
4.0     3.349458763741e-01      4.697404723799e+01
4.0     3.464036034235e-01      4.362581835717e+01
4.0     3.583257246456e-01      4.055956304795e+01
4.0     3.707488633635e-01      3.793888779969e+01
4.0     3.837157487360e-01      3.556167354928e+01
4.0     3.972766353284e-01      3.317414861122e+01
4.0     4.114911567648e-01      3.076398748563e+01
4.0     4.264307840594e-01      2.851255725538e+01
4.0     4.421821417540e-01      2.648188083887e+01
4.0     4.588515659937e-01      2.456198822929e+01
4.0     4.765715023592e-01      2.265725024018e+01
4.0     4.955097004706e-01      2.083888950869e+01
4.0     5.158827870432e-01      1.915177162160e+01
4.0     5.379769276834e-01      1.751050695568e+01
4.0     5.621804171447e-01      1.591936693866e+01
4.0     5.890372583406e-01      1.439818210775e+01
4.0     6.193396372156e-01      1.290530720067e+01
4.0     6.542969511286e-01      1.144437532291e+01
4.0     6.958662826103e-01      9.988850072468e+00
4.0     7.474500672257e-01      8.521048803349e+00
4.0     8.154878167808e-01      7.008627200004e+00
4.0     9.132176747887e-01      5.422522954658e+00
4.0     1.067681861987e+00      3.787220161110e+00
4.0     1.313696908781e+00      2.333845723619e+00
4.0     1.651041754173e+00      1.355833099761e+00
4.0     2.078484682313e+00      7.774629647862e-01
4.0     2.616656982536e+00      4.421311382640e-01
4.0     3.294175969156e+00      2.495667582814e-01
4.0     4.147121838492e+00      1.399217689955e-01
4.0     5.220917068284e+00      7.796571399373e-02
4.0     6.572745170133e+00      4.319937026889e-02
4.0     8.274595919928e+00      2.381263753623e-02
4.0     1.041709907593e+01      1.306410541100e-02
4.0     1.311435074386e+01      7.135906828984e-03
4.0     1.650998941063e+01      3.882010004408e-03
